x,y
4747.23757618666,19000
2810.66662096977,19100
1025.11266040802,19371.3111076355
-662.229275405407,18428.3694524765
-1110.116846621037,17081.8024921417
-1185.453183948994,14844.3547525406
-1200,7000
-1200,1000
-1200,-7000
-1200,-16000
-1200,-25000
-1200,-30000
-1127.202894032002,-32020.4940795898
-1120.708773136139,-34749.710152626
-1117.596279323101,-36616.1484336853
-789.811843514442,-37713.2558078766
527.906656503677,-38971.4546699524
1957.13122481108,-39617.4792261124
3794.35604989529,-40056.1738290787
5142,-40566
5320,-40596
5659,-40638
6352,-40728
6732,-40775
7307,-40830
8390,-40844
9714,-40263
10120,-39882
10489,-39060
10596,-38619
10485.3873477578,-38303.8532381058
10400, -30000
10400, -25000
10400, -20000
10400, -10000
10400, 0
10400, 7000
10400, 12000
10369,16318
10004,17219
9815,17517
9682,17687
9663,17704
9092,18136
8192,18468
7356,18575
